國家/地區別,總計,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
100年 11月,3980121,5409,6198,366,65297,20811,592561,310577,1704,682,31565,20533,1180,139092,51201,509075,1682339,279001,232403,30127
100年 12月,3910675,7033,10261,754,53093,32447,665185,297476,2107,1306,35484,19467,616,120818,93999,440544,1641427,234142,225408,29109
101,48341770,86616,72452,8816,906288,310632,8340827,3893757,29342,15164,440134,250601,8371,1780188,1038940,5895459,19211318,2705204,2999102,348560
101年 1月,3453715,7428,10812,461,71583,20135,627241,311322,2065,784,25241,15566,363,138515,49291,415246,1413210,154836,166055,23561
101年 2月,4079594,9414,3051,772,73332,31198,706977,335763,2205,1158,33861,23830,794,148044,88103,417043,1698203,224148,252034,29664
101年 3月,4188761,5401,4033,959,88081,24313,769935,333343,3250,1277,36194,21163,771,148055,106594,559453,1639907,200675,216114,29243
101年 4月,4191733,2664,3441,1037,75080,18509,760916,336997,2541,1170,33388,23249,960,155241,142795,488255,1644333,218453,252999,29704
101年 5月,4209985,4806,3078,906,68884,33956,726661,312430,2312,1568,39644,21219,696,153037,128655,524831,1639599,259868,257735,30099
101年 6月,4093992,15225,2648,723,72636,20885,690079,291296,2285,1267,41826,18343,488,142675,102669,522877,1608569,213625,317951,27925
101年 7月,4482803,2640,3082,373,105601,22714,786874,329073,2347,1086,39868,21065,825,164655,98130,566524,1709355,288802,310165,29624
101年 8月,3856490,4643,3342,821,85001,19592,640755,285165,2043,1234,34602,19588,610,153238,73591,445194,1612043,200800,248017,26210
101年 9月,4085868,4617,7618,919,75738,26344,665826,330108,2387,1006,37542,24972,848,170708,56390,532581,1611670,215106,289357,32133
101年 10月,4341387,3249,9822,712,58338,27665,705481,383438,2917,1809,39687,24399,842,154062,63639,568944,1700888,296501,267913,31081
101年 11月,3516238,15063,7757,293,49205,20989,601595,322178,2260,1056,36756,17839,580,115268,65352,416596,1392001,208220,214965,28267
101年 12月,3841202,11465,13768,839,82809,44331,658488,322645,2729,1751,41524,19370,596,136689,63731,437916,1541538,224171,205797,31047
102,43689850,88623,101317,10424,862919,355138,7807212,3479885,38020,16544,440686,222147,7311,1308845,775323,5686214,16747901,2724636,2665899,350804
102年 1月,3908373,6319,20528,997,78483,54178,697517,333288,2485,1033,40256,19300,698,160141,64872,501141,1377604,288830,233055,27648
102年 2月,3215438,1648,6231,486,70431,25099,592104,242133,2601,762,33275,16271,344,104245,47509,448134,1250534,155749,194817,23065
102年 3月,4167438,16254,7122,1113,104690,29963,743085,310370,3440,1592,45896,20356,781,111712,91993,596011,1578298,188568,288337,27858
102年 4月,3623583,3096,5185,950,75171,19380,623379,307259,2171,1690,36397,19401,804,125591,73683,493793,1414792,198297,193837,28706
102年 5月,3498241,2125,5259,969,53478,21643,592931,291437,3008,1405,33367,17735,439,112177,55557,454990,1425145,167627,231408,27540
102年 6月,4087290,19754,4263,432,61436,46994,695400,299054,3716,1359,34828,17207,367,117136,87581,527289,1640882,276605,224677,28311
102年 7月,3779012,8209,4385,740,84722,18356,685773,339361,3517,1439,38138,18417,604,116249,57048,495458,1443221,203120,230117,30138
102年 8月,3222274,3752,4715,937,79947,18910,624467,250739,3287,1329,33168,17832,467,94320,58317,428363,1223925,179239,171200,27360
102年 9月,3455630,5388,7768,836,79183,35502,621185,269024,3992,1230,39162,19691,877,95168,56645,453091,1288400,265518,184436,28533
102年 10月,3428823,6299,9170,545,73225,21721,633872,301894,3785,1447,39801,21455,832,106418,60357,408326,1295301,204125,209091,31160
102年 11月,3376232,9691,9269,860,46482,33511,616214,240625,3229,1667,38619,16851,529,74856,46291,451489,1256944,265878,232417,30812
102年 12月,3927516,6086,17422,1561,55671,29882,681287,294701,2789,1590,27780,17631,571,90833,75471,428129,1552854,331081,272507,39671
103,41978720,92436,119740,10257,711401,576037,7154650,3328843,43523,20553,342646,200344,7762,1055481,945490,5349995,16133514,2548658,2900327,437063
103年 1月,3033590,5311,19898,1073,70626,38063,526892,245435,2769,979,22742,13399,674,83452,58864,386157,1116065,219137,191727,30327
103年 2月,3223389,5495,9308,592,69896,57460,552131,243086,2741,2050,29291,16891,447,91514,54793,404110,1239810,176494,235531,31749
103年 3月,4017654,14770,8873,1430,92664,49462,729032,296611,3811,2447,30867,19479,744,99387,72618,459750,1561287,219348,317402,37672
103年 4月,3807078,3528,6320,1224,37189,65760,643121,305472,4094,1967,26027,18413,687,96459,63474,478564,1494254,256063,267476,36986
103年 5月,3102204,3790,3997,1259,29641,55388,560974,248979,4959,1317,27742,14245,593,79568,54667,437351,1137981,178047,218846,42860
103年 6月,3909392,20852,4955,923,42335,50690,647756,297630,4153,2169,31552,16648,734,93923,92321,519384,1514377,256966,271838,40186
103年 7月,3750984,2336,4606,843,51426,33324,620510,310084,4077,1590,31863,16927,632,93632,90130,477456,1432565,266898,274302,37783
103年 8月,3524300,3169,5915,390,64366,38706,612670,283696,3723,979,25807,17465,609,93740,99353,431335,1396394,170686,241307,33990
103年 9月,3448500,3975,7423,747,61373,30201,590733,286802,3268,1271,29138,18835,728,88151,97575,463580,1316407,183899,229194,35200
103年 10月,3388671,4541,15569,605,63532,29634,589812,281730,2848,2364,30699,18554,540,88882,104394,438897,1252536,197234,230798,35502
103年 11月,3375564,15930,14037,625,67069,46326,550663,271887,3714,1786,27418,15159,826,72534,75648,443995,1316741,204217,209154,37835
103年 12月,3397394,8739,18839,546,61284,81023,530356,257431,3366,1634,29500,14329,548,74239,81653,409416,1355097,219669,212752,36973
104,38865379,108642,149859,6568,738018,464849,6024690,2796827,37770,20186,310237,185296,7566,875232,1154339,4240640,16282670,2580766,2450877,430347
104年 1月,3108021,5656,26087,771,61340,49693,510033,222858,2773,1907,26834,14763,353,72060,90287,446024,1173030,179554,190673,33325
104年 2月,2721799,3775,15722,518,53745,18950,453382,209721,3081,1598,21817,12826,670,63532,96364,352259,1006837,194146,181374,31482
104年 3月,3983193,21238,8200,336,82171,35783,626516,295207,5028,2934,33394,21582,718,87993,113928,513352,1592929,247502,255606,38776
104年 4月,3212678,5677,4741,365,43525,35484,537436,241680,3033,1844,26375,15347,747,69950,105025,402159,1256926,188758,238483,35123
104年 5月,3189660,3997,3954,1254,54344,33941,524864,223903,4165,2227,24231,12317,590,73073,95265,367811,1294494,236014,199265,33951
104年 6月,3543922,17777,4541,239,66160,32978,519604,240523,3005,1777,26856,14169,535,70395,104589,371588,1531896,281700,217601,37989
104年 7月,3234660,4034,4787,730,59123,30373,472765,220486,3053,1332,24769,12767,473,72532,121694,315182,1449888,200932,206050,33690
104年 8月,3197854,4442,5454,479,67370,34586,497226,219480,2456,1939,23498,15437,711,65795,102276,312392,1442239,187887,179592,34595
104年 9月,3170962,13838,10081,630,56619,27774,472646,225719,1982,964,24763,16193,724,71902,88358,292017,1448131,202353,180495,35773
104年 10月,3128662,5016,19714,416,61174,39932,443341,224068,2565,1157,27916,16952,977,71534,65041,311033,1429514,200390,171734,36188
104年 11月,3210177,12701,18049,467,64024,59523,478679,238438,3463,1072,24611,15701,506,77030,100564,262899,1353447,239782,218943,40278
104年 12月,3163791,10491,28529,363,68423,65832,488198,234744,3166,1435,25173,17242,562,79436,70948,293924,1303339,221748,211061,39177
105,40620288,103908,152676,7566,690078,575504,6268545,2830535,39463,17054,331999,181629,7159,771610,923549,3767632,18298637,2756719,2450373,445652
105年 1月,3018409,5521,30220,342,68182,36648,471411,230856,3153,1068,21113,13255,508,61293,86205,265514,1298966,225534,165066,33554
105年 2月,2659222,13747,10191,624,52185,24377,442225,181054,2926,796,21505,11225,301,50973,52651,241374,1203010,175617,143408,31033
105年 3月,3347531,5218,12420,881,77460,51085,515765,229632,4341,1478,32514,19903,750,61425,82394,336231,1482253,210162,186598,37021
105年 4月,2940527,6805,8399,380,56384,32819,490160,219895,3715,1937,24183,13007,799,59417,54748,265406,1239413,253704,174017,35339
105年 5月,3394369,2635,5378,716,65262,39012,536258,236965,3440,1435,24656,14885,746,71549,60304,325817,1563790,193010,210854,37657
105年 6月,3569667,17549,5056,544,65576,93519,533471,233302,3298,2508,26781,14095,467,65682,76170,348681,1515994,279041,248621,39312
105年 7月,3573173,7198,6159,688,68056,48071,542490,245636,3196,1254,27915,14251,380,67142,81980,338209,1628132,246340,209855,36221
105年 8月,3671839,6597,8436,797,70948,47712,564972,262651,3020,1166,28886,18597,640,66291,75507,349771,1721007,199993,207294,37554
105年 9月,3442486,6133,9342,305,37257,55098,477690,234775,3183,1399,26153,16075,665,58337,128042,312100,1631502,179559,229759,35112
105年 10月,3930016,16198,17198,682,42755,48829,606161,262639,3189,1330,34897,16672,1026,76641,82530,321680,1862352,278156,214246,42835
105年 11月,3524528,7911,19750,797,41199,45113,554781,261871,3116,1301,33488,16593,476,71689,86075,336249,1513877,275361,215524,39357
105年 12月,3548521,8396,20127,810,44814,53221,533161,231259,2886,1382,29908,13071,401,61171,56943,326600,1638341,240242,245131,40657
106,41938924,96840,152270,8458,406596,555009,6794545,2919631,29479,16209,390694,176470,6969,844521,900207,4525487,18032837,2779148,2826134,477420
106年 1月,2905054,5513,22689,712,31528,49436,490244,209491,2512,771,21652,10745,714,57260,82084,279164,1308373,136240,166223,29703
106年 2月,3673834,4532,10765,436,33004,74601,567205,246503,2898,1014,34935,15576,392,69111,59005,391669,1612357,260819,250543,38469
106年 3月,3685167,10852,11382,919,37488,34915,633455,253152,2655,1871,35969,17849,601,69738,66394,384271,1609955,170109,294241,49351
106年 4月,3505190,7677,7854,433,36760,55968,552696,242714,1955,1113,35209,16330,760,66626,60756,404632,1499379,239257,237116,37955
106年 5月,3379080,3078,5121,580,30588,27012,535336,256593,2462,1388,30983,14050,499,68642,57188,389693,1421043,230364,267028,37432
106年 6月,3377977,10666,4591,826,32066,31755,500768,220570,2826,2032,30226,13243,338,65633,79528,378376,1427764,270358,271267,35144
106年 7月,3512480,4316,7318,1180,34092,27220,590479,257817,2354,1615,34432,13622,445,74905,68392,383302,1515081,228332,222591,44987
106年 8月,3427748,4446,8077,539,30640,41714,570657,231541,2403,1145,33403,15769,617,72985,66816,385855,1492453,206730,219561,42397
106年 9月,3551386,8097,12974,665,34581,46892,561172,242359,2638,1042,35643,14732,558,79061,110790,373115,1546397,231602,209971,39097
106年 10月,3569367,8065,21418,657,33512,45434,611174,247579,1936,1140,33769,14159,846,77864,63278,371924,1505467,264739,227447,38959
106年 11月,3564424,12379,19490,964,30598,47513,562503,255161,2503,1438,33191,15008,517,71286,86620,369436,1540114,264624,211817,39262
106年 12月,3787217,17219,20591,547,41739,72549,618856,256151,2337,1640,31282,15387,682,71410,99356,414050,1554454,275974,248329,44664
107,44151300,130581,163030,9558,420244,602863,7658871,3099347,22485,19874,364772,184613,7695,932967,753760,4958323,18227970,3088159,2983955,522233
107年 1月,3667341,11837,26595,1088,34846,63164,623509,267300,1850,1544,40740,15426,723,69348,54716,377478,1495877,312485,225193,43622
107年 2月,3395910,16928,16036,271,27312,48212,561684,226104,1884,1073,32740,13192,289,64866,52995,366282,1466657,263237,200547,35601
107年 3月,3920967,9376,10982,1421,43966,55162,737407,261377,2070,2029,35775,18356,763,78733,56126,436504,1639199,227347,259594,44780
107年 4月,3802496,11349,7501,441,36316,32906,698406,259031,2002,1610,30684,14771,699,82289,87306,444206,1515141,272351,261168,44319
107年 5月,3640623,10501,6638,757,32128,45864,609841,266433,2246,1714,29913,14321,884,77997,70231,476977,1483387,220673,246972,43146
107年 6月,3655712,9919,6043,776,34320,49453,616468,234772,2615,1521,27985,13215,286,74209,119453,395261,1446763,324501,254595,43557
107年 7月,3969241,10430,7374,702,37530,40546,682263,284693,1922,1999,30925,15069,498,82983,67094,468785,1607764,289603,295166,43895
107年 8月,3508105,7966,6959,722,29480,21921,651593,251702,1567,1500,25688,16134,770,71443,48392,378073,1534281,160448,261736,37730
107年 9月,3661309,10078,12595,698,33121,88915,664331,265222,1465,1322,25469,18217,390,76421,39877,411162,1539843,205605,225191,41387
107年 10月,3903977,11263,21641,688,36631,51531,679100,285230,1522,2389,32223,17078,1121,89571,55123,429944,1600864,312996,232994,42068
107年 11月,3458205,10010,17849,1034,33448,61447,566310,244155,1783,1820,27761,13998,686,78978,37611,402154,1418453,250375,241488,48845
107年 12月,3567414,10924,22817,960,41146,43742,567959,253328,1559,1353,24869,14836,586,86129,64836,371497,1479741,248538,279311,53283
108,44051896,137753,171577,8086,427338,581456,7384527,2881281,11963,18742,340334,196391,8529,933560,607865,3986573,19682163,3352511,2780884,540363
108年 1月,3415777,14106,32375,762,33712,52089,585125,248414,1256,1451,27865,17020,866,80373,29564,311177,1501063,240288,192497,45774
108年 2月,2857336,7092,8557,482,26727,26904,499432,187686,622,885,27819,12887,294,65194,25561,208604,1342099,201830,179876,34785
108年 3月,4366547,11809,10815,846,40839,72995,732346,268741,798,2186,34419,18217,858,78525,54474,381770,2008834,306419,294830,46826
108年 4月,3521998,8816,7795,874,32402,40485,595802,240039,684,1379,29318,17014,808,74408,39487,361946,1492803,308735,225344,43859
108年 5月,3115941,6284,6391,593,27683,25667,573176,211564,780,1762,22889,13311,359,77508,49265,291331,1340383,246978,185723,34294
108年 6月,3817819,11392,6841,327,39541,41932,655380,244995,1427,1962,28836,14556,849,86645,48244,377020,1611787,355120,246677,44288
108年 7月,3592722,13559,7602,961,36510,43174,610471,258550,1075,1862,28506,18504,705,74878,53360,361205,1543511,276712,217876,43701
108年 8月,3262121,13669,8199,660,31620,49027,549675,219483,921,1732,25538,15768,512,69094,73535,310016,1462817,191376,200757,37722
108年 9月,3813096,10824,10541,604,33707,52020,607085,251003,972,1303,33894,18938,848,76364,42315,342892,1755948,288213,239030,46595
108年 10月,3989668,12575,21847,754,37277,66491,654417,254412,899,1260,32673,18489,678,78226,61940,340311,1842496,285038,225256,54629
108年 11月,3981887,12489,18677,589,38462,65496,649952,224420,1117,1390,23294,13320,333,76458,72720,331569,1782626,360645,260868,47462
108年 12月,4316984,15138,31937,634,48858,45176,671666,271974,1412,1570,25283,18367,1419,95887,57400,368732,1997796,291157,312150,60428
109,45900765,161048,169523,10715,472965,394448,7104724,3088602,11282,21051,333442,201197,9116,1010755,730435,4450543,20775941,3299313,3044957,610708
109年 1月,3010318,10008,18754,497,21332,40784,446882,197027,861,923,18044,11652,459,70973,31017,249987,1397720,243353,210761,39284
109年 2月,3937622,10855,12533,788,37496,34605,647906,255805,821,1449,28179,18529,670,92052,57474,445327,1672026,327694,245549,47864
109年 3月,4241827,10750,11214,691,40988,34262,687974,290107,1019,2907,33352,20462,911,95427,73522,476456,1863587,266436,271690,60072
109年 4月,3682276,10427,10092,929,37438,32142,620060,274980,567,2011,30257,18013,979,83354,54786,382886,1565801,269875,227926,59753
109年 5月,3439646,13325,9259,902,36293,27544,552170,246753,948,1972,30077,16572,408,83969,46902,376196,1527092,183388,243038,42838
109年 6月,3940525,11423,5929,869,41187,29753,551922,241160,923,2110,25907,14092,1380,79853,63977,380421,1787768,347588,300047,54216
109年 7月,3714405,13363,7486,755,38745,27623,562964,228087,1052,1834,24555,16172,710,82609,44268,355799,1737041,267073,261366,42903
109年 8月,3657865,13268,7137,898,43253,32432,544594,245839,1089,1605,28229,15425,725,84324,53053,379717,1729565,194755,233746,48211
109年 9月,3769378,15615,13504,1155,38743,29120,568356,251068,1069,1438,26322,17702,924,78104,64271,335911,1799837,236712,237750,51777
109年 10月,4080133,15960,24313,941,41765,34962,630717,269861,671,1393,29239,16874,709,89720,60842,380447,1875804,308456,247986,49473
109年 11月,4043342,18997,20159,1119,43824,36877,608967,277608,1083,1795,28386,15703,436,83923,79817,341116,1813527,331406,278390,60209
109年 12月,4383428,17057,29143,1171,51901,34344,682212,310307,1179,1614,30895,20001,805,86447,100506,346280,2006173,322577,286708,54108
110,56102995,201958,199004,13217,562302,506467,8388955,3495800,12236,25132,478235,199560,9967,1026771,1350277,5532563,26285707,3577350,3551080,686414
110年 1月,4113649,19209,40937,1053,42081,60236,633909,283389,965,1626,30300,15905,855,66789,64016,375957,1915791,261969,241137,57525
110年 2月,3758297,14773,15799,482,33833,35524,611904,252277,769,1681,22383,14216,443,68679,53251,334643,1757128,246464,250260,43788
110年 3月,5268144,17918,15047,1351,61799,41420,779860,347933,1191,2896,46580,21975,938,93620,131729,518033,2406489,339429,379082,60854
110年 4月,4405868,16564,9116,1233,41623,50293,681188,285648,926,2669,31177,17667,1124,83680,66224,426113,2021327,308702,304850,55744
110年 5月,4349764,14996,6933,583,43609,35430,708967,278662,1277,2388,41426,17747,350,84616,54999,438250,1977981,300288,290462,50800
110年 6月,4846430,11528,6948,1165,47374,32179,692493,287420,1257,2427,38618,13292,1051,83558,112683,528101,2166798,498806,268689,52043
110年 7月,4624674,9249,8522,984,41980,24502,654477,309486,993,1637,40529,15073,835,82386,158731,431160,2222317,314667,252755,54391
110年 8月,5388206,16360,12000,1220,48596,51471,773225,307564,1006,2102,56862,18904,481,91983,130067,556571,2618663,290531,349695,60905
110年 9月,4653449,17138,15812,1122,43662,49162,703981,295136,858,1972,49061,16255,983,87353,122826,496179,2259465,159889,267098,65497
110年 10月,4782722,17160,19875,1785,53572,36502,719747,276876,777,1380,42015,15410,570,87661,109973,466473,2334956,234739,305751,57500
110年 11月,4913284,20522,19501,1507,50632,46324,737937,292937,910,2048,37338,17217,1646,103433,147289,522581,2178778,351027,309890,71767
110年 12月,4998508,26541,28514,732,53541,43424,691267,278472,1307,2306,41946,15899,691,93013,198489,438502,2426014,270839,331411,55600
111年 (1~8月),37854468,130848,95073,11016,377531,396405,5902267,2262927,7579,18014,318904,122887,5205,710615,716434,4095385,17745225,2087973,2406990,443190
111年 1月,4227517,19225,27733,951,44533,42932,586190,261513,1009,2375,38498,12558,904,90583,94094,447972,2047996,170431,282493,55527
111年 2月,4766298,13024,9415,1445,43612,31710,769548,299970,753,2014,42496,17748,517,91192,82563,495973,2145053,320248,340651,58366
111年 3月,5141979,17001,10924,900,57543,91094,776318,313913,1016,2937,45489,17651,592,93980,120254,542535,2392696,289330,309995,57811
111年 4月,5144476,19591,8065,843,42080,38372,862144,303669,757,2309,38313,17002,525,95030,106197,572097,2370671,304112,307219,55480
111年 5月,4531169,14980,8404,3516,44452,45120,743031,275135,558,2174,33125,12636,828,87178,46974,514546,2182439,220441,244134,51498
111年 6月,4965365,14182,6742,1357,51513,52608,752585,291907,936,2088,38775,16052,391,89246,110106,599417,2299980,251387,327970,58123
111年 7月,4712906,14232,9543,1038,44917,46370,697066,281079,1369,2179,44691,14252,879,85962,62352,523104,2194153,299295,340219,50206
111年 8月,4364758,18613,14247,966,48881,48199,715385,235741,1181,1938,37517,14988,569,77444,93894,399741,2112237,232729,254309,56179
